gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.279787536,1,0.130145169,0.409301866,0.139286826,0.395202244,-1,0.248243424,0.176342909,5,10
0.320117277,1,0.152730562,0.467874257,0.130145169,0.409301866,1,0.221715679,0.184055836,5,11
0.334470317,1,0.215656506,0.544095197,0.152730562,0.467874257,1,0.239561947,0.22538341,5,12
0.386536495,1,0.336214666,0.734747684,0.215656506,0.544095197,-1,0.546327482,0.372957302,5,13
0.82792411,1,0.558275923,1.145296473,0.336214666,0.734747684,-1,1.267139609,0.742381544,5,14
1.923520662,1,0.914870201,1.6884875,0.558275923,1.145296473,1,2.462179175,1.428701602,5,15
2.544308295,1,1.298512928,1.947668407,0.914870201,1.6884875,1,3.727364935,2.148416883,5,16
2.756886738,1,1.574042114,1.881283035,1.298512928,1.947668407,-1,4.161606408,2.587448238,5,17
2.90742832,1,1.802177287,1.768772878,1.574042114,1.881283035,-1,4.407263029,2.886023303,5,18
2.821846259,1,1.968878374,1.876580072,1.802177287,1.768772878,1,4.65437839,3.133553399,5,19
2.379401197,1,1.905356639,1.880846061,1.968878374,1.876580072,1,4.194127112,2.782458685,5,20
1.945429291,1,1.673239167,1.804575302,1.905356639,1.880846061,-1,3.218185152,2.21880472,5,21
1.556115681,1,1.544524302,1.70722444,1.673239167,1.804575302,-1,2.788676047,2.09174587,5,22
1.956955761,1,1.553646667,1.726528976,1.544524302,1.70722444,1,2.713401956,2.264653995,5,23
2.31627627,1,1.566724593,1.800126958,1.553646667,1.726528976,1,2.604216212,2.213272546,5,24
2.126586439,1,1.57043434,1.853691192,1.566724593,1.800126958,-1,2.290073471,2.069379016,5,25
2.267251545,1,1.674845094,2.016592145,1.57043434,1.853691192,-1,2.158757189,2.189421056,5,26
2.636342779,1,1.85203764,2.098523578,1.674845094,2.016592145,1,2.626866495,2.560062421,5,27
2.681431631,1,1.86986457,2.046180138,1.85203764,2.098523578,1,2.834457065,2.611485493,5,28
2.513277902,1,1.734345674,1.964062165,1.86986457,2.046180138,-1,2.754835144,2.418784602,5,29
2.490168564,1,1.692002906,1.899517582,1.734345674,1.964062165,-1,2.927796687,2.545593665,5,30
2.62579471,1,1.805204668,1.860455275,1.692002906,1.899517582,1,3.228980076,2.882117445,5,31
2.495174544,1,1.919615333,1.904491967,1.805204668,1.860455275,1,3.167167174,2.910524317,5,32
2.233348389,1,1.977333847,2.018571341,1.919615333,1.904491967,-1,2.753088518,2.596073387,5,33
2.192097411,1,2.105929378,2.187456328,1.977333847,2.018571341,-1,2.561364033,2.621952258,5,34
2.409956233,1,2.278488625,2.382203908,2.105929378,2.187456328,1,2.668901487,2.82566388,5,35
2.691950351,1,2.277009013,2.400814884,2.278488625,2.382203908,1,2.712661934,2.633301002,5,36
2.782285717,1,2.129038944,2.25796438,2.277009013,2.400814884,-1,2.674482016,2.341561596,5,37
2.82993384,1,2.062996319,2.098462041,2.129038944,2.25796438,-1,2.696004629,2.234715233,5,38
2.819414525,1,2.078951847,2.017369481,2.062996319,2.098462041,1,2.876901726,2.516200865,5,39
2.397472379,1,1.973484827,1.811261747,2.078951847,2.017369481,1,2.941896212,2.613864995,5,40
2.036630712,1,1.778383459,1.534818297,1.973484827,1.811261747,-1,2.631240183,2.47482662,5,41
2.055445991,1,1.682069199,1.51955974,1.778383459,1.534818297,-1,2.752032316,2.58675002,5,42
2.507647386,1,1.640591566,1.888588127,1.682069199,1.51955974,1,3.295209011,2.769684767,5,43
2.075728642,1,1.472854883,2.270172496,1.640591566,1.888588127,1,3.234992632,2.621120233,5,44
1.700656425,1,1.21626065,2.279693646,1.472854883,2.270172496,-1,2.419325188,2.034154762,5,45
1.3366482,1,1.051210667,1.953954707,1.21626065,2.279693646,-1,1.819983765,1.679209842,5,46
1.257488534,1,0.967191275,1.457230207,1.051210667,1.953954707,1,1.759215685,1.330745474,5,47
0.954796149,1,0.848729751,0.823911916,0.967191275,1.457230207,1,1.489952375,0.731326628,5,48
0.706296594,1,0.578816439,0.914094405,0.848729751,0.823911916,1,0.543899175,0.476504513,6,1
0.625260758,1,0.481308782,0.797050431,0.578816439,0.914094405,1,0.49915428,0.448681688,6,2
0.446420276,1,0.378673169,0.63381738,0.481308782,0.797050431,-1,0.406584309,0.365518477,6,3
0.383039154,1,0.315828178,0.512241443,0.378673169,0.63381738,-1,0.360325264,0.330698995,6,4
0.376222013,1,0.276738311,0.450171843,0.315828178,0.512241443,1,0.354557361,0.32518531,6,5
0.309137237,1,0.235521752,0.43238075,0.276738311,0.450171843,1,0.310133449,0.282781698,6,6
0.249930052,1,0.198015564,0.412964708,0.235521752,0.43238075,-1,0.245202807,0.221266149,6,7
0.25796038,1,0.180679983,0.40617445,0.198015564,0.412964708,-1,0.219815192,0.196124018,6,8
0.291449382,1,0.178479107,0.411517824,0.180679983,0.40617445,1,0.226789252,0.19757365,6,9
0.299189609,1,0.177799887,0.402532422,0.178479107,0.411517824,1,0.218510059,0.180961073,6,10
0.299409748,1,0.186974297,0.40293849,0.177799887,0.402532422,-1,0.186019656,0.150030169,6,11
0.301512107,1,0.238368704,0.508063444,0.186974297,0.40293849,-1,0.211848788,0.168529815,6,12
0.447446475,1,0.362106094,0.801524338,0.238368704,0.508063444,1,0.413838543,0.335384283,6,13
0.822266719,1,0.558797049,1.338385994,0.362106094,0.801524338,1,0.853950137,0.735673505,6,14
1.223681226,1,0.818016624,2.027984279,0.558797049,1.338385994,-1,1.373574457,1.270523331,6,15
1.739775176,1,1.177351001,2.805590361,0.818016624,2.027984279,-1,2.014271386,1.971337152,6,16
2.49532142,1,1.660063079,3.608377434,1.177351001,2.805590361,1,2.795563669,2.865603172,6,17
2.566096537,1,2.031363935,3.712264076,1.660063079,3.608377434,1,3.044349997,3.115517115,6,18
2.311671522,1,2.191416838,2.99839059,2.031363935,3.712264076,-1,2.707003536,2.784768215,6,19
2.251259633,1,2.294829162,2.296750488,2.191416838,2.99839059,-1,2.517220819,2.537169998,6,20
2.32713801,1,2.387277671,1.808699705,2.294829162,2.296750488,1,2.708221519,2.391864345,6,21
2.249642735,1,2.321033741,1.419764736,2.387277671,1.808699705,1,2.640763492,2.134880316,6,22
1.961882001,1,2.157726961,1.215638859,2.321033741,1.419764736,-1,2.34521522,1.96789665,6,23
2.005215623,1,2.117225405,1.243893333,2.157726961,1.215638859,-1,2.349367446,2.078264575,6,24
2.382182517,1,2.191346257,1.415780948,2.117225405,1.243893333,1,2.615421711,2.424129354,6,25
2.446442144,1,2.20399725,1.526971626,2.191346257,1.415780948,1,2.681782088,2.505443978,6,26
2.410626241,1,2.178191928,1.53909281,2.20399725,1.526971626,-1,2.460554027,2.246599953,6,27
2.459081035,1,2.295797314,1.684914409,2.178191928,1.53909281,-1,2.42215254,2.217732164,6,28
2.578675969,1,2.521487876,1.954821977,2.295797314,1.684914409,1,2.599642573,2.509456184,6,29
2.454027275,1,2.602607958,1.985680733,2.521487876,1.954821977,1,2.565037162,2.541839368,6,30
